Canal_1,Canal_2,Canal_3,Canal_4,Canal_5,Canal_6,Canal_7,Canal_8,Tiempo
68213.5007635952,9680.160543937749,61.48964899654973,-41188.27476361689,-23119.95156049151,-60389.07145131486,-27000.10263921054,79779.45563548275,0.184
68221.10035671,9689.794145797987,52.66070993670344,-41190.77815899589,-23124.86894427168,-60390.32314900436,-27004.327118912595,79779.81326339404,0.188
68237.73005458475,9710.58126814142,10.460616405083705,-41229.84900830377,-23167.292555247852,-60421.302666819414,-27036.87125883952,79741.1670972308,0.192
68211.28794089412,9692.118727221337,42.021279575977275,-41202.78104576839,-23138.749377578424,-60392.29010251643,-27007.903398025443,79766.49162369868,0.196
68208.6504350484,9677.098354947371,43.94352959913368,-41199.607098055734,-23136.961238022,-60390.61372168228,-27010.473848637805,79767.11747254342,0.2
68220.78743228763,9686.709605063154,1.8551947897904861,-41233.805267072355,-23176.613232685715,-60418.7098644626,-27041.699235641867,79732.62873084888,0.204
68224.16254570038,9694.53271562251,5.766750069469222,-41224.81986580132,-23171.382924483172,-60408.51746899098,-27030.59041864758,79740.69771059725,0.208
68215.98180722973,9691.023491743028,0.08940697782122825,-41228.39614491417,-23176.523825707893,-60413.30074230442,-27034.01023554924,79733.20987620472,0.212
68202.3025396231,9663.977880952107,22.463503177583597,-41205.46325510302,-23151.62398238468,-60393.89942811721,-27010.92088352691,79758.71321662822,0.216
68205.74470826921,9667.86708448733,20.76477059898026,-41202.46812134601,-23146.706598604513,-60394.122945561765,-27009.602130604046,79763.8764695974,0.22
68216.98763573023,9690.509401620557,27.02325904646624,-41192.3204293633,-23136.849479299723,-60386.0539658134,-27002.449572378348,79773.68888541328,0.224
68213.07608045056,9694.86799178934,37.28270975145218,-41184.89965020414,-23127.19352569503,-60382.0530035559,-27000.594377588557,79779.92502211631,0.228
68205.9011704804,9682.194552683182,39.629642919259425,-41187.380693838684,-23124.265447171387,-60385.316358246375,-27006.316424169116,79779.65680118285,0.232
68209.16452517087,9678.752384037065,26.911500324189703,-41198.53421432188,-23135.933057777056,-60396.224009540565,-27014.363052173027,79772.14661504586,0.236
68216.94293224132,9695.91852377874,40.32254699737394,-41181.636295513665,-23121.62794132566,-60383.1035355453,-26998.493313609757,79792.39729552237,0.24
68207.42108910336,9692.565762110444,57.578093716870995,-41165.25246682793,-23101.08668817123,-60372.62056739576,-26987.29508963765,79810.3904498089,0.244
68203.28601637912,9670.124610677316,46.53633195594931,-41183.62560077019,-23110.96615922048,-60387.50682920299,-27003.209531689827,79796.55471999107,0.248
68211.22088566076,9671.979805467106,32.94647132712261,-41198.24364164396,-23121.33736864774,-60395.173477551165,-27009.87035153751,79788.82101640952,0.252
68229.9069440254,9706.088567505905,1.9893052565223286,-41225.64688034617,-23148.874717816678,-60415.804137683415,-27030.322197714115,79765.06111205353,0.256
68228.56583935808,9715.431596688222,-22.932889811145046,-41250.34555796928,-23171.628793672182,-60430.3104198349,-27045.70019789937,79740.9212280418,0.26
68215.57947582954,9698.265456946547,-28.990212558533262,-41260.1356220407,-23179.094276320255,-60434.08786464785,-27051.757520646755,79730.90764652583,0.264
68221.72620555475,9688.520096364033,-52.2136750475973,-41283.38143627423,-23200.373137041704,-60446.60484154282,-27065.481491742314,79709.87465499339,0.268
68226.598885846,9696.164392967748,-60.752041429524596,-41286.77890143143,-23204.508209765936,-60444.30261186393,-27061.45817774036,79707.72888752566,0.272
68223.69315906682,9702.087605248405,-28.31966022487405,-41251.06081379185,-23172.567566939302,-60411.49025100354,-27029.651645380458,79741.94940828675,0.276
68214.99833047371,9690.06236673145,-10.080636749343485,-41235.548703139866,-23157.234270242963,-60402.84012589933,-27024.890723811477,79754.39932994836,0.28
68209.94683622681,9674.639663057287,12.047590261410507,-41213.62164182921,-23135.32956067676,-60389.026747825956,-27013.53603762818,79776.63931568139,0.284
68224.76604280068,9697.371387168336,-29.861930592290236,-41250.68083413611,-23175.406238485128,-60427.78467271146,-27050.796395635178,79740.00480651914,0.288
68232.2538771932,9718.225564745137,-46.91631161168952,-41263.33192149782,-23191.611253215226,-60436.077169904376,-27058.59715445008,79726.39259414586,0.292
68213.52311533966,9700.947666281185,-21.301212465907632,-41237.82858107431,-23167.337258736763,-60412.496079504024,-27036.62538965051,79750.08544326847,0.296
68210.01389146017,9684.63089282881,-11.131168738742916,-41228.5302553809,-23158.06128478781,-60406.86343990129,-27031.708005870343,79761.28366724058,0.3
68231.96330451529,9707.027340773027,-57.712204183602836,-41269.54570645639,-23203.368270798717,-60445.19668164214,-27071.516462745247,79720.15645744282,0.304
68232.83502254904,9715.900983321784,-49.866741879790055,-41253.586560915304,-23191.96888112651,-60429.52810877897,-27054.707950914857,79732.11464072642,0.308
68230.66690333688,9714.738692610108,-45.95518660011132,-41248.557418412856,-23186.649165946146,-60429.148129123234,-27053.188032291895,79733.65691109383,0.312
68226.30831316809,9702.087605248405,-60.14854432923131,-41262.10257555277,-23199.188494585575,-60440.39105658425,-27065.749712675777,79719.12827719787,0.316
